ステーション名,住所,車種
北幸２丁目月極,神奈川県横浜市西区北幸2-13,アクア（ハイブリッド）
横浜スカイビル７階,神奈川県横浜市西区高島2-19,ヤリス（ハイブリッド）
横浜スカイビル７階,神奈川県横浜市西区高島2-19,シエンタ
横浜スカイビル７階,神奈川県横浜市西区高島2-19,セレナ
タイムズステーション横浜関内,神奈川県横浜市中区蓬莱町2-5,MAZDA2
タイムズステーション横浜関内,神奈川県横浜市中区蓬莱町2-5,ヤリス（ハイブリッド）
タイムズステーション横浜関内,神奈川県横浜市中区蓬莱町2-5,ヤリスクロス（ハイブリッド）
タイムズステーション横浜関内,神奈川県横浜市中区蓬莱町2-5,シエンタ
タイムズステーション横浜関内,神奈川県横浜市中区蓬莱町2-5,CX-5 2000
タイムズステーション横浜関内,神奈川県横浜市中区蓬莱町2-5,フリード
タイムズステーション横浜関内,神奈川県横浜市中区蓬莱町2-5,C-HR（ハイブリッド）
タイムズステーション横浜関内,神奈川県横浜市中区蓬莱町2-5,CX-30 2000（M-ハイブリッド）
タイムズステーション横浜関内,神奈川県横浜市中区蓬莱町2-5,セレナ
タイムズステーション横浜関内,神奈川県横浜市中区蓬莱町2-5,ノア（ハイブリッド）
タイムズ富士見町第２,神奈川県横浜市中区富士見町3-8,アクア（ハイブリッド）
タイムズ富士見町第２,神奈川県横浜市中区富士見町3-8,セレナ
タイムズ富士見町第４,神奈川県横浜市中区富士見町2-2,ソリオ
タイムズ富士見町第４,神奈川県横浜市中区富士見町2-2,セレナ
タイムズ日本大通第２,神奈川県横浜市中区日本大通,ヤリス（ハイブリッド）
タイムズ日本大通第２,神奈川県横浜市中区日本大通,アクア（ハイブリッド）
タイムズ日本大通第２,神奈川県横浜市中区日本大通,セレナ
タイムズ末吉町第８,神奈川県横浜市中区末吉町2,ルークス
タイムズ末吉町第８,神奈川県横浜市中区末吉町2,ワゴンRスマイル 660
タイムズ末吉町第８,神奈川県横浜市中区末吉町2,フィット（ハイブリッド）
タイムズ末吉町第８,神奈川県横浜市中区末吉町2,セレナ
タイムズ横浜扇町,神奈川県横浜市中区扇町3-8,ノート e-POWER
タイムズ横浜扇町,神奈川県横浜市中区扇町3-8,ヤリス（ハイブリッド）
タイムズ横浜扇町,神奈川県横浜市中区扇町3-8,セレナ
タイムズ長者町第６,神奈川県横浜市中区長者町1-3,アクア（ハイブリッド）
タイムズ長者町第６,神奈川県横浜市中区長者町1-3,フィット（ハイブリッド）
タイムズ長者町第６,神奈川県横浜市中区長者町1-3,セレナ
タイムズ長者町第８,神奈川県横浜市中区長者町2-6,アクア（ハイブリッド）
桜木町ぴおシティ駐車場,神奈川県横浜市中区桜木町1-1,MAZDA2
タイムズステーションココロット鶴ヶ峰（２,神奈川県横浜市旭区鶴ヶ峰2-82,フィット
タイムズステーションココロット鶴ヶ峰（２,神奈川県横浜市旭区鶴ヶ峰2-82,MAZDA2
タイムズステーションココロット鶴ヶ峰（２,神奈川県横浜市旭区鶴ヶ峰2-82,ヤリス（ハイブリッド）
タイムズステーションココロット鶴ヶ峰（２,神奈川県横浜市旭区鶴ヶ峰2-82,アクア（ハイブリッド）
タイムズステーションココロット鶴ヶ峰（２,神奈川県横浜市旭区鶴ヶ峰2-82,フィット（ハイブリッド）
たまプラーザテラスＦ駐車場,神奈川県横浜市青葉区美しが丘5-2,ソリオ
たまプラーザテラスＦ駐車場,神奈川県横浜市青葉区美しが丘5-2,ノート e-POWER
たまプラーザテラスＦ駐車場,神奈川県横浜市青葉区美しが丘5-2,ヤリス（ハイブリッド）
たまプラーザテラスＦ駐車場,神奈川県横浜市青葉区美しが丘5-2,アクア（ハイブリッド）
たまプラーザテラスＦ駐車場,神奈川県横浜市青葉区美しが丘5-2,シエンタ（ハイブリッド）
たまプラーザテラスＦ駐車場,神奈川県横浜市青葉区美しが丘5-2,CX-30 2000（M-ハイブリッド）
たまプラーザテラスＦ駐車場,神奈川県横浜市青葉区美しが丘5-2,セレナ
たまプラーザテラスＦ駐車場,神奈川県横浜市青葉区美しが丘5-2,ノア（ハイブリッド）
